"UF";"Município";"Cargo";"Quantitativo";"Vaga";"Concorrência";
"AL";"MURICI";"Prefeito";"2";"1";"2,00"
"AL";"NOVO LINO";"Prefeito";"2";"1";"2,00"
"AL";"OLHO D'ÁGUA DAS FLORES";"Prefeito";"3";"1";"3,00"
"AL";"OLHO D'ÁGUA DO CASADO";"Prefeito";"2";"1";"2,00"
"AL";"OLHO D'ÁGUA GRANDE";"Prefeito";"5";"1";"5,00"
"AL";"OLIVENÇA";"Prefeito";"2";"1";"2,00"
"AL";"OURO BRANCO";"Prefeito";"4";"1";"4,00"
"AL";"PALESTINA";"Prefeito";"3";"1";"3,00"
"AL";"PALMEIRA DOS ÍNDIOS";"Prefeito";"3";"1";"3,00"
"AL";"PÃO DE AÇÚCAR";"Prefeito";"4";"1";"4,00"
"AL";"PARICONHA";"Prefeito";"4";"1";"4,00"
"AL";"PARIPUEIRA";"Prefeito";"2";"1";"2,00"
"AL";"PASSO DE CAMARAGIBE";"Prefeito";"6";"1";"6,00"
"AL";"PAULO JACINTO";"Prefeito";"2";"1";"2,00"
"AL";"PENEDO";"Prefeito";"5";"1";"5,00"
"AL";"PIAÇABUÇU";"Prefeito";"3";"1";"3,00"
"AL";"PILAR";"Prefeito";"3";"1";"3,00"
"AL";"PINDOBA";"Prefeito";"2";"1";"2,00"
"AL";"PIRANHAS";"Prefeito";"3";"1";"3,00"
"AL";"POÇO DAS TRINCHEIRAS";"Prefeito";"3";"1";"3,00"
"AL";"PORTO CALVO";"Prefeito";"6";"1";"6,00"
"AL";"PORTO DE PEDRAS";"Prefeito";"2";"1";"2,00"
"AL";"PORTO REAL DO COLÉGIO";"Prefeito";"2";"1";"2,00"
"AL";"QUEBRANGULO";"Prefeito";"2";"1";"2,00"
"AL";"RIO LARGO";"Prefeito";"3";"1";"3,00"
"AL";"ROTEIRO";"Prefeito";"4";"1";"4,00"
"AL";"SANTA LUZIA DO NORTE";"Prefeito";"2";"1";"2,00"
"AL";"SANTANA DO IPANEMA";"Prefeito";"6";"1";"6,00"
"AL";"SANTANA DO MUNDAÚ";"Prefeito";"2";"1";"2,00"
"AL";"SÃO BRÁS";"Prefeito";"3";"1";"3,00"
"AL";"SÃO JOSÉ DA LAJE";"Prefeito";"3";"1";"3,00"
"AL";"SÃO JOSÉ DA TAPERA";"Prefeito";"5";"1";"5,00"
"AL";"SÃO LUÍS DO QUITUNDE";"Prefeito";"2";"1";"2,00"
"AL";"SÃO MIGUEL DOS CAMPOS";"Prefeito";"4";"1";"4,00"
"AL";"SÃO MIGUEL DOS MILAGRES";"Prefeito";"4";"1";"4,00"
"AL";"SÃO SEBASTIÃO";"Prefeito";"4";"1";"4,00"
"AL";"SATUBA";"Prefeito";"2";"1";"2,00"
"AL";"SENADOR RUI PALMEIRA";"Prefeito";"2";"1";"2,00"
"AL";"TANQUE D'ARCA";"Prefeito";"5";"1";"5,00"
"AL";"TAQUARANA";"Prefeito";"3";"1";"3,00"
"AL";"TEOTÔNIO VILELA";"Prefeito";"2";"1";"2,00"
"AL";"TRAIPU";"Prefeito";"4";"1";"4,00"
"AL";"UNIÃO DOS PALMARES";"Prefeito";"8";"1";"8,00"
"AL";"VIÇOSA";"Prefeito";"3";"1";"3,00"
"AM";"ALVARÃES";"Prefeito";"3";"1";"3,00"
"AM";"AMATURÁ";"Prefeito";"4";"1";"4,00"
"AM";"ANAMÃ";"Prefeito";"3";"1";"3,00"
"AM";"ANORI";"Prefeito";"2";"1";"2,00"
"AM";"APUÍ";"Prefeito";"3";"1";"3,00"
"AM";"ATALAIA DO NORTE";"Prefeito";"3";"1";"3,00"
"AM";"AUTAZES";"Prefeito";"4";"1";"4,00"
"AM";"BARCELOS";"Prefeito";"5";"1";"5,00"
"AM";"BARREIRINHA";"Prefeito";"3";"1";"3,00"
"AM";"BENJAMIN CONSTANT";"Prefeito";"5";"1";"5,00"
"AM";"BERURI";"Prefeito";"8";"1";"8,00"
"AM";"BOA VISTA DO RAMOS";"Prefeito";"2";"1";"2,00"
"AM";"BOCA DO ACRE";"Prefeito";"6";"1";"6,00"
"AM";"BORBA";"Prefeito";"5";"1";"5,00"
"AM";"CAAPIRANGA";"Prefeito";"2";"1";"2,00"
"AM";"CANUTAMA";"Prefeito";"3";"1";"3,00"
"AM";"CARAUARI";"Prefeito";"3";"1";"3,00"
"AM";"CAREIRO";"Prefeito";"5";"1";"5,00"
"AM";"CAREIRO DA VÁRZEA";"Prefeito";"5";"1";"5,00"
"AM";"COARI";"Prefeito";"10";"1";"10,00"
"AM";"CODAJÁS";"Prefeito";"4";"1";"4,00"
"AM";"EIRUNEPÉ";"Prefeito";"5";"1";"5,00"
"AM";"ENVIRA";"Prefeito";"4";"1";"4,00"
"AM";"FONTE BOA";"Prefeito";"4";"1";"4,00"
"AM";"GUAJARÁ";"Prefeito";"3";"1";"3,00"
"AM";"HUMAITÁ";"Prefeito";"6";"1";"6,00"
"AM";"IPIXUNA";"Prefeito";"3";"1";"3,00"
"AM";"IRANDUBA";"Prefeito";"11";"1";"11,00"
"AM";"ITACOATIARA";"Prefeito";"7";"1";"7,00"
"AM";"ITAMARATI";"Prefeito";"2";"1";"2,00"
"AM";"ITAPIRANGA";"Prefeito";"3";"1";"3,00"
"AM";"JAPURÁ";"Prefeito";"4";"1";"4,00"
