"UF";"Cargo";"Quantitativo";"Vaga";"Concorrência";
"BR";"Presidente";"14";"1";"14,00"
"BR";"Vice-presidente";"14";"1";"14,00"
"AC";"Governador";"5";"1";"5,00"
"AL";"Governador";"6";"1";"6,00"
"AM";"Governador";"7";"1";"7,00"
"AP";"Governador";"5";"1";"5,00"
"BA";"Governador";"7";"1";"7,00"
"CE";"Governador";"6";"1";"6,00"
"DF";"Governador";"11";"1";"11,00"
"ES";"Governador";"6";"1";"6,00"
"GO";"Governador";"7";"1";"7,00"
"MA";"Governador";"6";"1";"6,00"
"MG";"Governador";"9";"1";"9,00"
"MS";"Governador";"6";"1";"6,00"
"MT";"Governador";"5";"1";"5,00"
"PA";"Governador";"5";"1";"5,00"
"PB";"Governador";"5";"1";"5,00"
"PE";"Governador";"7";"1";"7,00"
"PI";"Governador";"10";"1";"10,00"
"PR";"Governador";"10";"1";"10,00"
"RJ";"Governador";"12";"1";"12,00"
"RN";"Governador";"8";"1";"8,00"
"RO";"Governador";"9";"1";"9,00"
"RR";"Governador";"5";"1";"5,00"
"RS";"Governador";"8";"1";"8,00"
"SC";"Governador";"9";"1";"9,00"
"SE";"Governador";"10";"1";"10,00"
"SP";"Governador";"13";"1";"13,00"
"TO";"Governador";"5";"1";"5,00"
"AC";"Vice-governador";"5";"1";"5,00"
"AL";"Vice-governador";"6";"1";"6,00"
"AM";"Vice-governador";"9";"1";"9,00"
"AP";"Vice-governador";"5";"1";"5,00"
"BA";"Vice-governador";"7";"1";"7,00"
"CE";"Vice-governador";"7";"1";"7,00"
"DF";"Vice-governador";"11";"1";"11,00"
"ES";"Vice-governador";"6";"1";"6,00"
"GO";"Vice-governador";"8";"1";"8,00"
"MA";"Vice-governador";"6";"1";"6,00"
"MG";"Vice-governador";"10";"1";"10,00"
"MS";"Vice-governador";"6";"1";"6,00"
"MT";"Vice-governador";"5";"1";"5,00"
"PA";"Vice-governador";"5";"1";"5,00"
"PB";"Vice-governador";"5";"1";"5,00"
"PE";"Vice-governador";"7";"1";"7,00"
"PI";"Vice-governador";"10";"1";"10,00"
"PR";"Vice-governador";"10";"1";"10,00"
"RJ";"Vice-governador";"12";"1";"12,00"
"RN";"Vice-governador";"8";"1";"8,00"
"RO";"Vice-governador";"9";"1";"9,00"
"RR";"Vice-governador";"5";"1";"5,00"
"RS";"Vice-governador";"8";"1";"8,00"
"SC";"Vice-governador";"10";"1";"10,00"
"SE";"Vice-governador";"10";"1";"10,00"
"SP";"Vice-governador";"13";"1";"13,00"
"TO";"Vice-governador";"5";"1";"5,00"
"AC";"Senador";"6";"2";"3,00"
"AL";"Senador";"9";"2";"4,50"
"AM";"Senador";"9";"2";"4,50"
"AP";"Senador";"12";"2";"6,00"
"BA";"Senador";"11";"2";"5,50"
"CE";"Senador";"13";"2";"6,50"
"DF";"Senador";"20";"2";"10,00"
"ES";"Senador";"11";"2";"5,50"
"GO";"Senador";"12";"2";"6,00"
"MA";"Senador";"11";"2";"5,50"
"MG";"Senador";"15";"2";"7,50"
"MS";"Senador";"15";"2";"7,50"
"MT";"Senador";"11";"2";"5,50"
"PA";"Senador";"18";"2";"9,00"
"PB";"Senador";"7";"2";"3,50"
"PE";"Senador";"12";"2";"6,00"
"PI";"Senador";"18";"2";"9,00"
"PR";"Senador";"16";"2";"8,00"
"RJ";"Senador";"17";"2";"8,50"
"RN";"Senador";"15";"2";"7,50"
"RO";"Senador";"16";"2";"8,00"
"RR";"Senador";"11";"2";"5,50"
"RS";"Senador";"15";"2";"7,50"
"SC";"Senador";"14";"2";"7,00"
"SE";"Senador";"14";"2";"7,00"
"SP";"Senador";"20";"2";"10,00"
"TO";"Senador";"10";"2";"5,00"
"AC";"Deputado Federal";"84";"8";"10,50"
"AL";"Deputado Federal";"83";"9";"9,22"
"AM";"Deputado Federal";"153";"8";"19,13"
"AP";"Deputado Federal";"120";"8";"15,00"
"BA";"Deputado Federal";"503";"39";"12,90"
